address,price,floorSize,url
"2201 Merimac Dr, Charlotte, NC 28273","$200,000 ","1,385",https://www.zillow.com/homedetails/2201-Merimac-Dr-Charlotte-NC-28273/6283759_zpid/
,,,
"2125 Southend Dr Apt 425, Charlotte, NC 28203","$249,900 ",682,https://www.zillow.com/homedetails/2125-Southend-Dr-APT-425-Charlotte-NC-28203/65056784_zpid/
,,,
"3032 Reid Ave, Charlotte, NC 28208","$240,000 ","1,262",https://www.zillow.com/homedetails/3032-Reid-Ave-Charlotte-NC-28208/80451040_zpid/
,,,
"4709 Cades Cove Dr, Charlotte, NC 28273","$287,000 ","2,149",https://www.zillow.com/homedetails/4709-Cades-Cove-Dr-Charlotte-NC-28273/65026569_zpid/
,,,
"9720 Needlepoint Rd, Charlotte, NC 28215","$265,000 ","2,150",https://www.zillow.com/homedetails/9720-Needlepoint-Rd-Charlotte-NC-28215/65053581_zpid/
,,,
"1904 Umstead St, Charlotte, NC 28205","$625,000 ","2,284",https://www.zillow.com/homedetails/1904-Umstead-St-Charlotte-NC-28205/6188703_zpid/
,,,
"1421 N Caldwell St, Charlotte, NC 28206","$685,000 ","2,154",https://www.zillow.com/homedetails/1421-N-Caldwell-St-Charlotte-NC-28206/6186827_zpid/
,,,
"9439 Tresanton Dr, Charlotte, NC 28210","$565,000 ","2,916",https://www.zillow.com/homedetails/9439-Tresanton-Dr-Charlotte-NC-28210/6289104_zpid/
,,,
"1801 Truman Rd, Charlotte, NC 28205","$645,000 ","1,992",https://www.zillow.com/homedetails/1801-Truman-Rd-Charlotte-NC-28205/6195440_zpid/
,,,
"15824 Homecoming Way, Charlotte, NC 28278","$349,300 ","2,792",https://www.zillow.com/homedetails/15824-Homecoming-Way-Charlotte-NC-28278/102960195_zpid/
,,,
"1117 Vickery Dr, Charlotte, NC 28215","$234,900 ","1,229",https://www.zillow.com/homedetails/1117-Vickery-Dr-Charlotte-NC-28215/6197223_zpid/
,,,
"2268 Kensington Sta, Charlotte, NC 28210","$315,000 ","1,629",https://www.zillow.com/homedetails/2268-Kensington-Sta-Charlotte-NC-28210/166921608_zpid/
,,,
"12209 Cannes St, Charlotte, NC 28277","$274,900 ","1,203",https://www.zillow.com/homedetails/12209-Cannes-St-Charlotte-NC-28277/80457285_zpid/
,,,
"5125 Grays Ridge Dr, Charlotte, NC 28269","$174,500 ","1,386",https://www.zillow.com/homedetails/5125-Grays-Ridge-Dr-Charlotte-NC-28269/65051041_zpid/
,,,
"11025 Amherst Glen Dr, Charlotte, NC 28213","$345,000 ","3,391",https://www.zillow.com/homedetails/11025-Amherst-Glen-Dr-Charlotte-NC-28213/51532612_zpid/
,,,
"2541 O'hara Dr, Charlotte, NC 28273","$210,000 ","1,240",https://www.zillow.com/homedetails/2541-O'hara-Dr-Charlotte-NC-28273/6284121_zpid/
,,,
"6103 Sunbridge Ct, Charlotte, NC 28269","$200,000 ","1,359",https://www.zillow.com/homedetails/6103-Sunbridge-Ct-Charlotte-NC-28269/6157211_zpid/
,,,
"11439 Longhedge Ln, Charlotte, NC 28273","$334,500 ","2,121",https://www.zillow.com/homedetails/11439-Longhedge-Ln-Charlotte-NC-28273/6308174_zpid/
,,,
"3001 Studley Rd, Charlotte, NC 28212","$287,000 ","1,516",https://www.zillow.com/homedetails/3001-Studley-Rd-Charlotte-NC-28212/6252234_zpid/
,,,
"16055 Hammersmith Farm Dr #88, Charlotte, NC 28273","$415,000 ","4,579",https://www.zillow.com/homedetails/16055-Hammersmith-Farm-Dr-88-Charlotte-NC-28273/2076972575_zpid/
,,,
"6261 Deliah Ln, Charlotte, NC 28215","$250,000 ","1,514",https://www.zillow.com/homedetails/6261-Deliah-Ln-Charlotte-NC-28215/6207215_zpid/
,,,
"10021 Wild Dogwood Ct, Charlotte, NC 28273","$266,300 ","2,135",https://www.zillow.com/homedetails/10021-Wild-Dogwood-Ct-Charlotte-NC-28273/54496590_zpid/
,,,
"6621 Covington Commons Dr, Charlotte, NC 28227","$264,900 ","2,526",https://www.zillow.com/homedetails/6621-Covington-Commons-Dr-Charlotte-NC-28227/122759688_zpid/
,,,
"4505 Cecilia Ln Lot 9, Charlotte, NC 28273","$326,145 ","2,636",https://www.zillow.com/homedetails/4505-Cecilia-Ln-LOT-9-Charlotte-NC-28273/2076974477_zpid/
,,,
"14507 Cardamon Ct, Charlotte, NC 28273","$235,000 ","1,430",https://www.zillow.com/homedetails/14507-Cardamon-Ct-Charlotte-NC-28273/6308383_zpid/
,,,
"1726 Cannon Ave, Charlotte, NC 28269","$149,990 ","1,207",https://www.zillow.com/homedetails/1726-Cannon-Ave-Charlotte-NC-28269/6159377_zpid/
,,,
"1917 Brookdale Ave, Charlotte, NC 28210","$345,000 ","1,863",https://www.zillow.com/homedetails/1917-Brookdale-Ave-Charlotte-NC-28210/6260267_zpid/
,,,
"8307 Golf Ridge Dr, Charlotte, NC 28277","$299,900 ","1,488",https://www.zillow.com/homedetails/8307-Golf-Ridge-Dr-Charlotte-NC-28277/6318947_zpid/
,,,
"5414 Swinstead Pl, Charlotte, NC 28227","$225,000 ","1,469",https://www.zillow.com/homedetails/5414-Swinstead-Pl-Charlotte-NC-28227/6210619_zpid/
,,,
"201 Wyanoke Ave, Charlotte, NC 28205","$549,900 ","2,250",https://www.zillow.com/homedetails/201-Wyanoke-Ave-Charlotte-NC-28205/6224166_zpid/
,,,
"14401 Widgeon Ct, Charlotte, NC 28273","$350,000 ","3,001",https://www.zillow.com/homedetails/14401-Widgeon-Ct-Charlotte-NC-28273/6307394_zpid/
,,,
"9411 Lexington Cres #b, Charlotte, NC 28213","$114,900 ","1,110",https://www.zillow.com/homedetails/9411-Lexington-Cres-B-Charlotte-NC-28213/6164499_zpid/
,,,
"4951 Hamilton Cir, Charlotte, NC 28216","$250,000 ","1,327",https://www.zillow.com/homedetails/4951-Hamilton-Cir-Charlotte-NC-28216/2076981800_zpid/
,,,
"8508 Sienna Dr, Charlotte, NC 28215","$200,000 ","1,274",https://www.zillow.com/homedetails/8508-Sienna-Dr-Charlotte-NC-28215/6209557_zpid/
,,,
"311 W 9th St, Charlotte, NC 28202","$1,100,000 ","3,000",https://www.zillow.com/homedetails/311-W-9th-St-Charlotte-NC-28202/6184803_zpid/
,,,
"524 Beaumont Ave, Charlotte, NC 28204","$525,000 ","1,270",https://www.zillow.com/homedetails/524-Beaumont-Ave-Charlotte-NC-28204/6186692_zpid/
,,,
"6320 Foster Brook Dr, Charlotte, NC 28216","$217,900 ","2,138",https://www.zillow.com/homedetails/6320-Foster-Brook-Dr-Charlotte-NC-28216/69568276_zpid/
,,,
"2823 Flintridge Dr, Charlotte, NC 28212","$184,900 ","1,175",https://www.zillow.com/homedetails/2823-Flintridge-Dr-Charlotte-NC-28212/6251681_zpid/
,,,
"2911 Glazer Valley Ct, Charlotte, NC 28214","$229,750 ","1,887",https://www.zillow.com/homedetails/2911-Glazer-Valley-Ct-Charlotte-NC-28214/80464698_zpid/
,,,
"1905 Anderson St, Charlotte, NC 28205","$325,000 ","1,029",https://www.zillow.com/homedetails/1905-Anderson-St-Charlotte-NC-28205/6192943_zpid/
,,,
"2201 Merimac Dr, Charlotte, NC 28273","$200,000 ","1,385",https://www.zillow.com/homedetails/2201-Merimac-Dr-Charlotte-NC-28273/6283759_zpid/
,,,
"2125 Southend Dr Apt 425, Charlotte, NC 28203","$249,900 ",682,https://www.zillow.com/homedetails/2125-Southend-Dr-APT-425-Charlotte-NC-28203/65056784_zpid/
,,,
"3032 Reid Ave, Charlotte, NC 28208","$240,000 ","1,262",https://www.zillow.com/homedetails/3032-Reid-Ave-Charlotte-NC-28208/80451040_zpid/
,,,
"4709 Cades Cove Dr, Charlotte, NC 28273","$287,000 ","2,149",https://www.zillow.com/homedetails/4709-Cades-Cove-Dr-Charlotte-NC-28273/65026569_zpid/
,,,
"9720 Needlepoint Rd, Charlotte, NC 28215","$265,000 ","2,150",https://www.zillow.com/homedetails/9720-Needlepoint-Rd-Charlotte-NC-28215/65053581_zpid/
,,,
"1904 Umstead St, Charlotte, NC 28205","$625,000 ","2,284",https://www.zillow.com/homedetails/1904-Umstead-St-Charlotte-NC-28205/6188703_zpid/
,,,
"1421 N Caldwell St, Charlotte, NC 28206","$685,000 ","2,154",https://www.zillow.com/homedetails/1421-N-Caldwell-St-Charlotte-NC-28206/6186827_zpid/
,,,
"9439 Tresanton Dr, Charlotte, NC 28210","$565,000 ","2,916",https://www.zillow.com/homedetails/9439-Tresanton-Dr-Charlotte-NC-28210/6289104_zpid/
,,,
"1801 Truman Rd, Charlotte, NC 28205","$645,000 ","1,992",https://www.zillow.com/homedetails/1801-Truman-Rd-Charlotte-NC-28205/6195440_zpid/
,,,
"15824 Homecoming Way, Charlotte, NC 28278","$349,300 ","2,792",https://www.zillow.com/homedetails/15824-Homecoming-Way-Charlotte-NC-28278/102960195_zpid/
,,,
"1117 Vickery Dr, Charlotte, NC 28215","$234,900 ","1,229",https://www.zillow.com/homedetails/1117-Vickery-Dr-Charlotte-NC-28215/6197223_zpid/
,,,
"2268 Kensington Sta, Charlotte, NC 28210","$315,000 ","1,629",https://www.zillow.com/homedetails/2268-Kensington-Sta-Charlotte-NC-28210/166921608_zpid/
,,,
"12209 Cannes St, Charlotte, NC 28277","$274,900 ","1,203",https://www.zillow.com/homedetails/12209-Cannes-St-Charlotte-NC-28277/80457285_zpid/
,,,
"5125 Grays Ridge Dr, Charlotte, NC 28269","$174,500 ","1,386",https://www.zillow.com/homedetails/5125-Grays-Ridge-Dr-Charlotte-NC-28269/65051041_zpid/
,,,
"11025 Amherst Glen Dr, Charlotte, NC 28213","$345,000 ","3,391",https://www.zillow.com/homedetails/11025-Amherst-Glen-Dr-Charlotte-NC-28213/51532612_zpid/
,,,
"2541 O'hara Dr, Charlotte, NC 28273","$210,000 ","1,240",https://www.zillow.com/homedetails/2541-O'hara-Dr-Charlotte-NC-28273/6284121_zpid/
,,,
"6103 Sunbridge Ct, Charlotte, NC 28269","$200,000 ","1,359",https://www.zillow.com/homedetails/6103-Sunbridge-Ct-Charlotte-NC-28269/6157211_zpid/
,,,
"11439 Longhedge Ln, Charlotte, NC 28273","$334,500 ","2,121",https://www.zillow.com/homedetails/11439-Longhedge-Ln-Charlotte-NC-28273/6308174_zpid/
,,,
"3001 Studley Rd, Charlotte, NC 28212","$287,000 ","1,516",https://www.zillow.com/homedetails/3001-Studley-Rd-Charlotte-NC-28212/6252234_zpid/
,,,
"16055 Hammersmith Farm Dr #88, Charlotte, NC 28273","$415,000 ","4,579",https://www.zillow.com/homedetails/16055-Hammersmith-Farm-Dr-88-Charlotte-NC-28273/2076972575_zpid/
,,,
"6261 Deliah Ln, Charlotte, NC 28215","$250,000 ","1,514",https://www.zillow.com/homedetails/6261-Deliah-Ln-Charlotte-NC-28215/6207215_zpid/
,,,
"10021 Wild Dogwood Ct, Charlotte, NC 28273","$266,300 ","2,135",https://www.zillow.com/homedetails/10021-Wild-Dogwood-Ct-Charlotte-NC-28273/54496590_zpid/
,,,
"6621 Covington Commons Dr, Charlotte, NC 28227","$264,900 ","2,526",https://www.zillow.com/homedetails/6621-Covington-Commons-Dr-Charlotte-NC-28227/122759688_zpid/
,,,
"4505 Cecilia Ln Lot 9, Charlotte, NC 28273","$326,145 ","2,636",https://www.zillow.com/homedetails/4505-Cecilia-Ln-LOT-9-Charlotte-NC-28273/2076974477_zpid/
,,,
"14507 Cardamon Ct, Charlotte, NC 28273","$235,000 ","1,430",https://www.zillow.com/homedetails/14507-Cardamon-Ct-Charlotte-NC-28273/6308383_zpid/
,,,
"1726 Cannon Ave, Charlotte, NC 28269","$149,990 ","1,207",https://www.zillow.com/homedetails/1726-Cannon-Ave-Charlotte-NC-28269/6159377_zpid/
,,,
"1917 Brookdale Ave, Charlotte, NC 28210","$345,000 ","1,863",https://www.zillow.com/homedetails/1917-Brookdale-Ave-Charlotte-NC-28210/6260267_zpid/
,,,
"8307 Golf Ridge Dr, Charlotte, NC 28277","$299,900 ","1,488",https://www.zillow.com/homedetails/8307-Golf-Ridge-Dr-Charlotte-NC-28277/6318947_zpid/
,,,
"5414 Swinstead Pl, Charlotte, NC 28227","$225,000 ","1,469",https://www.zillow.com/homedetails/5414-Swinstead-Pl-Charlotte-NC-28227/6210619_zpid/
,,,
"201 Wyanoke Ave, Charlotte, NC 28205","$549,900 ","2,250",https://www.zillow.com/homedetails/201-Wyanoke-Ave-Charlotte-NC-28205/6224166_zpid/
,,,
"14401 Widgeon Ct, Charlotte, NC 28273","$350,000 ","3,001",https://www.zillow.com/homedetails/14401-Widgeon-Ct-Charlotte-NC-28273/6307394_zpid/
,,,
"9411 Lexington Cres #b, Charlotte, NC 28213","$114,900 ","1,110",https://www.zillow.com/homedetails/9411-Lexington-Cres-B-Charlotte-NC-28213/6164499_zpid/
,,,
"4951 Hamilton Cir, Charlotte, NC 28216","$250,000 ","1,327",https://www.zillow.com/homedetails/4951-Hamilton-Cir-Charlotte-NC-28216/2076981800_zpid/
,,,
"8508 Sienna Dr, Charlotte, NC 28215","$200,000 ","1,274",https://www.zillow.com/homedetails/8508-Sienna-Dr-Charlotte-NC-28215/6209557_zpid/
,,,
"311 W 9th St, Charlotte, NC 28202","$1,100,000 ","3,000",https://www.zillow.com/homedetails/311-W-9th-St-Charlotte-NC-28202/6184803_zpid/
,,,
"524 Beaumont Ave, Charlotte, NC 28204","$525,000 ","1,270",https://www.zillow.com/homedetails/524-Beaumont-Ave-Charlotte-NC-28204/6186692_zpid/
,,,
"6320 Foster Brook Dr, Charlotte, NC 28216","$217,900 ","2,138",https://www.zillow.com/homedetails/6320-Foster-Brook-Dr-Charlotte-NC-28216/69568276_zpid/
,,,
"2823 Flintridge Dr, Charlotte, NC 28212","$184,900 ","1,175",https://www.zillow.com/homedetails/2823-Flintridge-Dr-Charlotte-NC-28212/6251681_zpid/
,,,
"2911 Glazer Valley Ct, Charlotte, NC 28214","$229,750 ","1,887",https://www.zillow.com/homedetails/2911-Glazer-Valley-Ct-Charlotte-NC-28214/80464698_zpid/
,,,
"1905 Anderson St, Charlotte, NC 28205","$325,000 ","1,029",https://www.zillow.com/homedetails/1905-Anderson-St-Charlotte-NC-28205/6192943_zpid/
,,,
"2201 Merimac Dr, Charlotte, NC 28273","$200,000 ","1,385",https://www.zillow.com/homedetails/2201-Merimac-Dr-Charlotte-NC-28273/6283759_zpid/
,,,
"2125 Southend Dr Apt 425, Charlotte, NC 28203","$249,900 ",682,https://www.zillow.com/homedetails/2125-Southend-Dr-APT-425-Charlotte-NC-28203/65056784_zpid/
,,,
"3032 Reid Ave, Charlotte, NC 28208","$240,000 ","1,262",https://www.zillow.com/homedetails/3032-Reid-Ave-Charlotte-NC-28208/80451040_zpid/
,,,
"4709 Cades Cove Dr, Charlotte, NC 28273","$287,000 ","2,149",https://www.zillow.com/homedetails/4709-Cades-Cove-Dr-Charlotte-NC-28273/65026569_zpid/
,,,
"9720 Needlepoint Rd, Charlotte, NC 28215","$265,000 ","2,150",https://www.zillow.com/homedetails/9720-Needlepoint-Rd-Charlotte-NC-28215/65053581_zpid/
,,,
"1904 Umstead St, Charlotte, NC 28205","$625,000 ","2,284",https://www.zillow.com/homedetails/1904-Umstead-St-Charlotte-NC-28205/6188703_zpid/
,,,
"1421 N Caldwell St, Charlotte, NC 28206","$685,000 ","2,154",https://www.zillow.com/homedetails/1421-N-Caldwell-St-Charlotte-NC-28206/6186827_zpid/
,,,
"9439 Tresanton Dr, Charlotte, NC 28210","$565,000 ","2,916",https://www.zillow.com/homedetails/9439-Tresanton-Dr-Charlotte-NC-28210/6289104_zpid/
,,,
"1801 Truman Rd, Charlotte, NC 28205","$645,000 ","1,992",https://www.zillow.com/homedetails/1801-Truman-Rd-Charlotte-NC-28205/6195440_zpid/
,,,
"15824 Homecoming Way, Charlotte, NC 28278","$349,300 ","2,792",https://www.zillow.com/homedetails/15824-Homecoming-Way-Charlotte-NC-28278/102960195_zpid/
,,,
"1117 Vickery Dr, Charlotte, NC 28215","$234,900 ","1,229",https://www.zillow.com/homedetails/1117-Vickery-Dr-Charlotte-NC-28215/6197223_zpid/
,,,
"2268 Kensington Sta, Charlotte, NC 28210","$315,000 ","1,629",https://www.zillow.com/homedetails/2268-Kensington-Sta-Charlotte-NC-28210/166921608_zpid/
,,,
"12209 Cannes St, Charlotte, NC 28277","$274,900 ","1,203",https://www.zillow.com/homedetails/12209-Cannes-St-Charlotte-NC-28277/80457285_zpid/
,,,
"5125 Grays Ridge Dr, Charlotte, NC 28269","$174,500 ","1,386",https://www.zillow.com/homedetails/5125-Grays-Ridge-Dr-Charlotte-NC-28269/65051041_zpid/
,,,
"11025 Amherst Glen Dr, Charlotte, NC 28213","$345,000 ","3,391",https://www.zillow.com/homedetails/11025-Amherst-Glen-Dr-Charlotte-NC-28213/51532612_zpid/
,,,
"2541 O'hara Dr, Charlotte, NC 28273","$210,000 ","1,240",https://www.zillow.com/homedetails/2541-O'hara-Dr-Charlotte-NC-28273/6284121_zpid/
,,,
"6103 Sunbridge Ct, Charlotte, NC 28269","$200,000 ","1,359",https://www.zillow.com/homedetails/6103-Sunbridge-Ct-Charlotte-NC-28269/6157211_zpid/
,,,
"11439 Longhedge Ln, Charlotte, NC 28273","$334,500 ","2,121",https://www.zillow.com/homedetails/11439-Longhedge-Ln-Charlotte-NC-28273/6308174_zpid/
,,,
"3001 Studley Rd, Charlotte, NC 28212","$287,000 ","1,516",https://www.zillow.com/homedetails/3001-Studley-Rd-Charlotte-NC-28212/6252234_zpid/
,,,
"16055 Hammersmith Farm Dr #88, Charlotte, NC 28273","$415,000 ","4,579",https://www.zillow.com/homedetails/16055-Hammersmith-Farm-Dr-88-Charlotte-NC-28273/2076972575_zpid/
,,,
"6261 Deliah Ln, Charlotte, NC 28215","$250,000 ","1,514",https://www.zillow.com/homedetails/6261-Deliah-Ln-Charlotte-NC-28215/6207215_zpid/
,,,
"10021 Wild Dogwood Ct, Charlotte, NC 28273","$266,300 ","2,135",https://www.zillow.com/homedetails/10021-Wild-Dogwood-Ct-Charlotte-NC-28273/54496590_zpid/
,,,
"6621 Covington Commons Dr, Charlotte, NC 28227","$264,900 ","2,526",https://www.zillow.com/homedetails/6621-Covington-Commons-Dr-Charlotte-NC-28227/122759688_zpid/
,,,
"4505 Cecilia Ln Lot 9, Charlotte, NC 28273","$326,145 ","2,636",https://www.zillow.com/homedetails/4505-Cecilia-Ln-LOT-9-Charlotte-NC-28273/2076974477_zpid/
,,,
"14507 Cardamon Ct, Charlotte, NC 28273","$235,000 ","1,430",https://www.zillow.com/homedetails/14507-Cardamon-Ct-Charlotte-NC-28273/6308383_zpid/
,,,
"1726 Cannon Ave, Charlotte, NC 28269","$149,990 ","1,207",https://www.zillow.com/homedetails/1726-Cannon-Ave-Charlotte-NC-28269/6159377_zpid/
,,,
"1917 Brookdale Ave, Charlotte, NC 28210","$345,000 ","1,863",https://www.zillow.com/homedetails/1917-Brookdale-Ave-Charlotte-NC-28210/6260267_zpid/
,,,
"8307 Golf Ridge Dr, Charlotte, NC 28277","$299,900 ","1,488",https://www.zillow.com/homedetails/8307-Golf-Ridge-Dr-Charlotte-NC-28277/6318947_zpid/
,,,
"5414 Swinstead Pl, Charlotte, NC 28227","$225,000 ","1,469",https://www.zillow.com/homedetails/5414-Swinstead-Pl-Charlotte-NC-28227/6210619_zpid/
,,,
"201 Wyanoke Ave, Charlotte, NC 28205","$549,900 ","2,250",https://www.zillow.com/homedetails/201-Wyanoke-Ave-Charlotte-NC-28205/6224166_zpid/
,,,
"14401 Widgeon Ct, Charlotte, NC 28273","$350,000 ","3,001",https://www.zillow.com/homedetails/14401-Widgeon-Ct-Charlotte-NC-28273/6307394_zpid/
,,,
"9411 Lexington Cres #b, Charlotte, NC 28213","$114,900 ","1,110",https://www.zillow.com/homedetails/9411-Lexington-Cres-B-Charlotte-NC-28213/6164499_zpid/
,,,
"4951 Hamilton Cir, Charlotte, NC 28216","$250,000 ","1,327",https://www.zillow.com/homedetails/4951-Hamilton-Cir-Charlotte-NC-28216/2076981800_zpid/
,,,
